"AS07_RosenbaumDoktrin" "AS10_acht" "AS10_daemmerung" "AS10_drei" "AS10_eins" "AS10_elf" "AS10_fünf" "AS10_neun" "AS10_outtake" "AS10_sechs" "AS10_sieben" "AS10_Tschick" "AS10_vier" "AS10_zehn" "AS10_zwei" "AS1011_zwölf" "AS10R_rueck1" "AS10R_rueck10" "AS10R_rueck2" "AS10R_rueck3" "AS10R_rueck4" "AS10R_rueck5" "AS10R_rueck6" "AS10R_rueck7" "AS10R_rueck8" "AS10R_rueck9" "AS11_achtzehn" "AS11_dreizehn" "AS11_einundzwanzig" "AS11_fuenfzehn" "AS11_neunzehn" "AS11_Sand" "AS11_sechzehn" "AS11_siebzehn" "AS11_vierzehn" "AS11_zwanzig" "AS11_zweiundzwanzig" "AS1112_dreiundzwanzig" "AS12_achtundzwanzig" "AS12_dreissig" "AS12_dreiunddreissig" "AS12_einunddreissig" "AS12_fuenfundzwanzig" "AS12_neunundzwanzig" "AS12_sechsundzwanzig" "AS12_siebenundzwanzig" "AS12_vierunddreissig" "AS12_vierundzwanzig" "AS12_zweiunddreissig" "AS1213_fuenfunddreissig" "AS13_achtunddreissig" "AS13_einunddreissig" "AS13_neununddreissig" "AS13_schluss" "AS13_sechsunddreissig" "AS13_siebenunddreissig" "AS13_vierzig" "AS13_zweiunddreissig"
"sie" 1.2906309751434 0.32 0 0.932400932400932 1.26582278481013 0.259291270527226 1.19760479041916 0.322841000807102 0.0887311446317657 0.731707317073171 0.251677852348993 0.914987622598941 0.315656565656566 0.7627765064836 0.499706055261611 0.136147038801906 0.653819683413627 1.02827763496144 0.668896321070234 0.29585798816568 0 0.862068965517241 0.388026607538803 0.352526439482961 0.0684462696783025 0.384985563041386 0.745573159366263 0.544959128065395 1.27856365614799 0.764331210191083 0.376529651710072 1.33885141061831 0.395256916996047 0.636132315521629 0.287907869481766 0.532544378698225 0.210084033613445 0.941346850108617 0.416449765747007 0.28328611898017 0.65359477124183 0.265604249667995 0.69164265129683 0.720980533525595 0.52750565184627 0.730816077953715 0.167644593461861 0.114678899082569 1.7156862745098 1.20320855614973 0.906618313689937 0.684345594525235 0.965406275140788 0 0.376175548589342 0.783545543584721 0.625978090766823 1.0351966873706
"ein" 0.908221797323136 0.693333333333333 1.45631067961165 0.885780885780886 0.738396624472574 0.691443388072602 0.598802395209581 0.564971751412429 1.33096716947649 0.914634146341463 1.04865771812081 0.929088459248582 0.715488215488216 1.06788710907704 0.617283950617284 0.748808713410483 0.75705437026841 0.428449014567266 0.752508361204013 1.18343195266272 0.8 0.344827586206897 0.665188470066519 0.117508813160987 0.616016427104723 0.384985563041386 1.21155638397018 0.490463215258856 1.03373231773667 1.27388535031847 0.847191716347662 1.09962840693428 1.42292490118577 1.39949109414758 1.24760076775432 0.739644970414201 0.490196078431373 0.434467776973208 0.416449765747007 0.56657223796034 0.522875816993464 1.19521912350598 0.749279538904899 0.504686373467916 1.4318010550113 0.791717417783191 1.17351215423303 0.688073394495413 0.245098039215686 1.20320855614973 0.906618313689937 0.940975192472198 1.04585679806919 0 0.815047021943574 1.02840352595495 0.625978090766823 0.20703933747412
"auf" 0.812619502868069 0.746666666666667 0.485436893203884 0.792540792540793 1.05485232067511 1.21002592912705 0.29940119760479 0.645682001614205 0.976042590949423 0.914634146341463 0.545302013422819 1.00272616175226 0.778619528619529 0.61022120518688 0.529100529100529 1.1572498298162 0.963523743977977 1.02827763496144 0.836120401337793 1.18343195266272 1.28 0.689655172413793 0.886917960088692 0.82256169212691 1.09514031485284 0.962463907603465 0.885368126747437 0.817438692098093 0.843307943416757 1.14649681528662 1.28647631000941 0.968853164920339 0.553359683794466 0.89058524173028 0.863723608445297 0.976331360946746 0.700280112044818 0.724112961622013 0.780843310775638 1.41643059490085 0.915032679738562 0.796812749003984 0.634005763688761 1.00937274693583 0.904295403165034 0.852618757612667 1.42497904442582 1.03211009174312 1.10294117647059 1.33689839572193 1.17860380779692 0.684345594525235 0.482703137570394 0 0.877742946708464 0.587659157688541 1.25195618153365 0.62111801242236
"mit" 0.812619502868069 1.17333333333333 0.485436893203884 0.839160839160839 1.05485232067511 1.12359550561798 0.748502994011976 1.04923325262308 0.532386867790595 1.21951219512195 1.04865771812081 0.827249083445618 1.09427609427609 0.99160945842868 0.940623162845385 0.884955752212389 0.860289057123193 0.942587832047986 1.17056856187291 1.18343195266272 0.8 1.03448275862069 0.609756097560976 0.705052878965922 0.342231348391513 0.481231953801732 0.97856477166822 1.03542234332425 0.924918389553863 0.89171974522293 0.94132412927518 1.01430553562031 0.869565217391304 0.381679389312977 1.34357005758157 0.887573964497041 1.61064425770308 1.01375814627082 0.937011972930765 0.56657223796034 0.65359477124183 1.12881806108898 0.749279538904899 0.576784426820476 0.753579502637528 0.97442143727162 0.838222967309304 1.26146788990826 0.980392156862745 1.60427807486631 0.453309156844968 1.62532078699743 0.724054706355591 0 0.940438871473354 0.881488736532811 1.25195618153365 0.62111801242236
"zu" 0.191204588910134 0.853333333333333 0.970873786407767 1.02564102564103 0.632911392405063 0.950734658599827 0.748502994011976 1.12994350282486 0.443655723158829 0.975609756097561 1.34228187919463 0.692507755460157 1.26262626262626 1.67810831426392 0.734861845972957 1.22532334921715 1.03234686854783 1.79948586118252 0.836120401337793 2.07100591715976 2.4 1.29310344827586 1.71840354767184 1.64512338425382 1.77960301163587 2.02117420596728 0.792171481826654 0.653950953678474 0.952121871599565 0.764331210191083 0.815814245371823 0.90745259397477 1.02766798418972 0.508905852417303 1.43953934740883 0.946745562130177 0.420168067226891 1.15858073859522 0.832899531494014 0.84985835694051 1.04575163398693 0.99601593625498 0.864553314121037 1.08147080028839 1.05501130369254 1.21802679658953 0.670578373847443 0.573394495412844 0.980392156862745 0.802139037433155 0.453309156844968 1.45423438836612 1.44810941271118 0 1.37931034482759 1.12634671890304 0.938967136150235 1.24223602484472
"es" 0.908221797323136 0.853333333333333 0.485436893203884 0.979020979020979 0.632911392405063 0.345721694036301 0.598802395209581 0.726392251815981 0.354924578527063 1.21951219512195 1.04865771812081 0.940055776642747 1.07323232323232 0.7627765064836 0.85243974132863 0.748808713410483 1.27322780454233 0.685518423307626 1.50501672240803 0.29585798816568 0.96 1.55172413793103 0.997782705099778 0.587544065804935 1.50581793292266 0.769971126082772 0.931966449207829 0.871934604904632 0.652883569096844 0.89171974522293 0.627549419516787 0.762323971739789 0.474308300395257 1.14503816793893 1.05566218809981 0.739644970414201 0.630252100840336 0.144822592324403 0.416449765747007 0.84985835694051 0.784313725490196 0.597609561752988 0.115273775216138 0.576784426820476 0.452147701582517 0.609013398294763 1.00586756077117 0.229357798165138 0.490196078431373 0.802139037433155 1.08794197642792 0.855431993156544 1.04585679806919 0 0.877742946708464 0.832517140058766 1.09546165884194 1.0351966873706
"sich" 0.286806883365201 0.373333333333333 0.485436893203884 0.792540792540793 0.632911392405063 0.777873811581677 0.449101796407186 0.807102502017756 0.798580301685892 0.426829268292683 0.503355704697987 0.504496600131608 0.357744107744108 0.99160945842868 0.440917107583774 0.612661674608577 0.344115622849277 0.51413881748072 0.418060200668896 0.591715976331361 0.64 0.862068965517241 0.388026607538803 0.470035252643948 0.27378507871321 0.769971126082772 0.279589934762349 0.163487738419619 0.680087051142546 0.445859872611465 0.345152180734233 1.05098639618519 0.711462450592885 0.508905852417303 0.287907869481766 0.473372781065089 0.420168067226891 0.362056480811006 0.364393545028631 0.708215297450425 0.261437908496732 0.199203187250996 0.749279538904899 0.360490266762797 0.52750565184627 0.609013398294763 0.838222967309304 0.344036697247706 0.612745098039216 0.53475935828877 0.271985494106981 0.256629597946963 0.160901045856798 6.66666666666667 0.501567398119122 0.39177277179236 0.312989045383412 0.20703933747412
"war" 1.81644359464627 0.32 0.485436893203884 0.186480186480186 0.316455696202532 0 0 0.0807102502017756 1.06477373558119 0.304878048780488 0.37751677852349 1.13276721085451 0.484006734006734 0.22883295194508 0.264550264550265 0.204220558202859 0.206469373709566 0.171379605826907 0.0836120401337793 0.443786982248521 0 0 0 0 0 0.192492781520693 0.0931966449207828 0 0.244831338411317 0.445859872611465 0.219642296830875 0.808573752452036 0.316205533596838 0.508905852417303 0 0.0887573964497041 0.0700280112044818 0.362056480811006 0.572618427902134 0.28328611898017 0.261437908496732 0.265604249667995 0.288184438040346 0.144196106705119 0.226073850791258 0.365408038976857 0.0838222967309304 0.114678899082569 0.612745098039216 0 0.634632819582956 0.342172797262618 0.241351568785197 0 0.188087774294671 0 0.312989045383412 0.20703933747412
"ist" 1.2906309751434 0.853333333333333 1.45631067961165 0.699300699300699 0.632911392405063 0.605012964563526 1.04790419161677 0.887812752219532 0.798580301685892 0.975609756097561 1.21644295302013 0.665872841788613 1.03114478114478 0.83905415713196 0.617283950617284 1.0211027910143 1.13558155540262 1.11396743787489 1.00334448160535 0.887573964497041 0.32 0.948275862068966 0.776053215077605 0.705052878965922 1.64271047227926 1.4436958614052 1.11835973904939 1.08991825613079 0.680087051142546 0.89171974522293 0.564794477565108 0.462497807122466 0.474308300395257 0.89058524173028 0.863723608445297 0.828402366863905 0.560224089635854 0.362056480811006 0.676730869338886 0.991501416430595 0.915032679738562 1.06241699867198 0.345821325648415 0.576784426820476 0.678221552373775 0.609013398294763 0.754400670578374 0.573394495412844 0.490196078431373 0.53475935828877 1.17860380779692 0.855431993156544 0.965406275140788 0 1.56739811912226 0.783545543584721 1.25195618153365 0.41407867494824
"dem" 0.717017208413002 0.746666666666667 0.485436893203884 0.885780885780886 0.738396624472574 1.21002592912705 0.598802395209581 0.484261501210654 0.62111801242236 0.670731707317073 0.545302013422819 0.564033465985649 0.7996632996633 0.61022120518688 0.705467372134039 0.476514635806671 0.412938747419133 0.342759211653813 0.334448160535117 1.18343195266272 0.48 0.603448275862069 0.609756097560976 0.82256169212691 0.205338809034908 0.577478344562079 0.372786579683131 0.490463215258856 0.571273122959739 0.636942675159236 0.596171948540948 0.641915059885492 0.632411067193676 0.89058524173028 0.383877159309021 0.650887573964497 0.840336134453782 0.651701665459812 0.520562207183758 1.13314447592068 0.522875816993464 0.464807436918991 0.461095100864553 0.576784426820476 0.904295403165034 0.548112058465286 1.0896898575021 0.688073394495413 0.612745098039216 0.802139037433155 0.725294650951949 0.598802395209581 0.643604183427192 0 0.564263322884012 0.29382957884427 1.09546165884194 0.41407867494824
